Food_Item,Calories,Protein_g,Fat_g,Carbs_g
"wasabi, raw, root",109.0,4.80 g,0.63 g,23.54 g
"cheese, limburger",327.0,20.05 g,27.25 g,0.49 g
"raspberries, raw",52.0,1.20 g,0.65 g,11.94 g
"corn bran, crude",224.0,8.36 g,0.92 g,85.64 g
"bread, rice bran",243.0,8.90 g,4.60 g,43.50 g
"taro shoots, raw",11.0,0.92 g,0.09 g,2.32 g
"sugars, powdered",389.0,0.00 g,0.00 g,99.77 g
"emu, raw, ground",134.0,22.77 g,4.03 g,0.00 g
"cookies, fortune",378.0,4.20 g,2.70 g,84.00 g
"fish, raw, cisco",98.0,18.99 g,1.91 g,0.00 g
"couscous, cooked",112.0,3.79 g,0.16 g,23.22 g
"dill weed, fresh",43.0,3.46 g,1.12 g,7.02 g
"spearmint, dried",285.0,19.93 g,6.03 g,52.04 g
"spearmint, fresh",44.0,3.29 g,0.73 g,8.41 g
tamales (navajo),153.0,6.28 g,6.12 g,18.12 g
"rice bran, crude",316.0,13.35 g,20.85 g,49.69 g
"rye flour, light",357.0,9.82 g,1.33 g,76.68 g
"spices, bay leaf",313.0,7.61 g,8.36 g,74.97 g
"spices, cardamom",311.0,10.76 g,6.70 g,68.47 g
"lemon juice, raw",22.0,0.35 g,0.24 g,6.90 g
"ginger root, raw",80.0,1.82 g,0.75 g,17.77 g
"fish oil, salmon",902.0,0.00 g,100.00 g,0.00 g
"fish, tuna salad",187.0,16.04 g,9.26 g,9.41 g
"orange peel, raw",97.0,1.50 g,0.20 g,25.00 g
"blueberries, raw",57.0,0.74 g,0.33 g,14.49 g
"cheese, muenster",368.0,23.41 g,30.04 g,1.12 g
"beet greens, raw",22.0,2.20 g,0.13 g,4.33 g
"cheese, cheshire",387.0,23.37 g,30.60 g,4.78 g
"bagels, oat bran",255.0,10.70 g,1.20 g,53.30 g
"fat, beef tallow",902.0,0.00 g,100.00 g,0.00 g
"clementines, raw",47.0,0.85 g,0.15 g,12.02 g
"peas, raw, green",81.0,5.42 g,0.40 g,14.45 g
"oat bran, cooked",40.0,3.21 g,0.86 g,11.44 g
"pears, bosc, raw",67.0,0.36 g,0.09 g,16.10 g
"sugar, turbinado",399.0,0.00 g,0.00 g,99.80 g
"headcheese, pork",157.0,13.83 g,10.90 g,0.00 g
ham salad spread,216.0,8.68 g,15.53 g,10.64 g
"olive loaf, pork",235.0,11.80 g,16.50 g,9.20 g
"pastrami, turkey",139.0,16.30 g,6.21 g,3.34 g
"cranberries, raw",46.0,0.46 g,0.13 g,11.97 g
"popeyes, biscuit",401.0,6.00 g,23.71 g,40.95 g
"egg, dried, yolk",669.0,33.63 g,59.13 g,0.66 g
"quinoa, uncooked",368.0,14.12 g,6.07 g,64.16 g
"emu, raw, oyster",141.0,22.81 g,4.86 g,0.00 g
"rose-apples, raw",25.0,0.60 g,0.30 g,5.70 g
"cheese, monterey",373.0,24.48 g,30.28 g,0.68 g
"fish, raw, scup",105.0,18.88 g,2.73 g,0.00 g
"cheese, cheddar",404.0,22.87 g,33.31 g,3.09 g
"cheese, caraway",376.0,25.18 g,29.20 g,3.06 g
"oil, wheat germ",884.0,0.00 g,100.00 g,0.00 g
"bread, oat bran",236.0,10.40 g,4.40 g,39.80 g
"watermelon, raw",30.0,0.61 g,0.15 g,7.55 g
potato pancakes,268.0,6.08 g,14.76 g,27.81 g
"bacon, meatless",309.0,11.69 g,29.52 g,5.31 g
"rosemary, fresh",131.0,3.31 g,5.86 g,20.70 g
"syrups, sorghum",290.0,0.00 g,0.00 g,74.90 g
"rye flour, dark",325.0,15.91 g,2.22 g,68.63 g
"oil, tomatoseed",884.0,0.00 g,100.00 g,0.00 g
"croutons, plain",407.0,11.90 g,6.60 g,73.50 g
"lemon peel, raw",47.0,1.50 g,0.30 g,16.00 g
"spices, paprika",282.0,14.14 g,12.89 g,53.99 g
"nectarines, raw",44.0,1.06 g,0.32 g,10.55 g
"mulberries, raw",43.0,1.44 g,0.39 g,9.80 g
"lotus root, raw",74.0,2.60 g,0.10 g,17.23 g
"sauce, barbecue",172.0,0.82 g,0.63 g,40.77 g
"fish, raw, spot",123.0,18.51 g,4.90 g,0.00 g
"crabapples, raw",76.0,0.40 g,0.30 g,19.95 g
"breadfruit, raw",103.0,1.07 g,0.23 g,27.12 g
arrowroot flour,357.0,0.30 g,0.10 g,88.15 g
"pimento, canned",23.0,1.10 g,0.30 g,5.10 g
"tomatillos, raw",32.0,0.96 g,1.02 g,5.84 g
"raisins, seeded",296.0,2.52 g,0.54 g,78.47 g
"bologna, turkey",209.0,11.42 g,16.05 g,4.68 g
vanilla extract,288.0,0.06 g,0.06 g,12.65 g
"fish, raw, carp",127.0,17.83 g,5.60 g,0.00 g
"wheat, sprouted",198.0,7.49 g,1.27 g,42.53 g
"fish, raw, cusk",87.0,18.99 g,0.69 g,0.00 g
"watercress, raw",11.0,2.30 g,0.10 g,1.29 g
"fish, raw, ling",87.0,18.99 g,0.64 g,0.00 g
"bread, cinnamon",253.0,7.05 g,5.29 g,44.38 g
"spices, saffron",310.0,11.43 g,5.85 g,65.37 g
"lime juice, raw",25.0,0.42 g,0.07 g,8.42 g
"spelt, uncooked",338.0,14.57 g,2.43 g,70.19 g
"cabbage, kimchi",15.0,1.10 g,0.50 g,2.40 g
"seeds, flaxseed",534.0,18.29 g,42.16 g,28.88 g
"cheese, gruyere",413.0,29.81 g,32.34 g,0.36 g
"cheese, gjetost",466.0,9.65 g,29.51 g,42.65 g
"cheese, fontina",389.0,25.60 g,31.14 g,1.55 g
"butter, salted",717.0,0.85 g,81.11 g,0.06 g
"oil, rice bran",884.0,0.00 g,100.00 g,0.00 g
"crackers, milk",446.0,7.60 g,13.77 g,71.73 g
"dates, medjool",277.0,1.81 g,0.15 g,74.97 g
"arrowroot, raw",65.0,4.24 g,0.20 g,13.39 g
"bread, oatmeal",269.0,8.40 g,4.40 g,48.50 g
"bread, italian",271.0,8.80 g,3.50 g,50.10 g
"tamarinds, raw",239.0,2.80 g,0.60 g,62.50 g
"millet, puffed",354.0,13.00 g,3.40 g,80.00 g
"vinegar, cider",21.0,0.00 g,0.00 g,0.93 g
"scrapple, pork",213.0,8.06 g,13.87 g,14.06 g
"oil, poppyseed",884.0,0.00 g,100.00 g,0.00 g
"oil, grapeseed",884.0,0.00 g,100.00 g,0.00 g
"longans, dried",286.0,4.90 g,0.40 g,74.00 g
"pectin, liquid",11.0,0.00 g,0.00 g,2.10 g
"pretzels, soft",338.0,8.20 g,3.10 g,69.39 g
"quinoa, cooked",120.0,4.40 g,1.92 g,21.30 g
"plantains, raw",122.0,1.30 g,0.37 g,31.89 g
"parsley, fresh",36.0,2.97 g,0.79 g,6.33 g
"barley, hulled",354.0,12.48 g,2.30 g,73.48 g
"cheese, romano",387.0,31.80 g,26.94 g,3.63 g
dulce de leche,315.0,6.84 g,7.35 g,55.35 g
"radicchio, raw",23.0,1.43 g,0.25 g,4.48 g
"bulgur, cooked",83.0,3.08 g,0.24 g,18.58 g
"tempeh, cooked",195.0,19.91 g,11.38 g,7.62 g
chicken spread,158.0,18.01 g,17.56 g,4.05 g
"millet, cooked",119.0,3.51 g,1.00 g,23.67 g
"capers, canned",23.0,2.36 g,0.86 g,4.89 g
"sapodilla, raw",83.0,0.44 g,1.10 g,19.96 g
"wild rice, raw",357.0,14.73 g,1.08 g,74.90 g
"arrowhead, raw",99.0,5.33 g,0.29 g,20.23 g
"frog legs, raw",73.0,16.40 g,0.30 g,0.00 g
"jackfruit, raw",95.0,1.72 g,0.64 g,23.25 g
"litchis, dried",277.0,3.80 g,1.20 g,70.70 g
"rutabagas, raw",37.0,1.08 g,0.16 g,8.62 g
"cornsalad, raw",21.0,2.00 g,0.40 g,3.60 g
"strudel, apple",274.0,3.30 g,11.20 g,41.10 g
"oil, cupu assu",884.0,0.00 g,100.00 g,0.00 g
"cherimoya, raw",75.0,1.57 g,0.68 g,17.71 g
"cheese, tilsit",340.0,24.41 g,25.98 g,1.88 g
"asparagus, raw",20.0,2.20 g,0.12 g,3.88 g
"apricots, raw",48.0,1.40 g,0.39 g,11.12 g
"broccoli, raw",34.0,2.82 g,0.37 g,6.64 g
"cheese, brick",371.0,23.24 g,29.68 g,2.79 g
"sugars, brown",380.0,0.12 g,0.00 g,98.09 g
candied fruit,322.0,0.34 g,0.07 g,82.74 g
"bologna, beef",299.0,10.91 g,26.13 g,4.29 g
blood sausage,379.0,14.60 g,34.50 g,1.29 g
"nuts, almonds",579.0,21.15 g,49.93 g,21.55 g
"shallots, raw",72.0,2.50 g,0.10 g,16.80 g
"couscous, dry",376.0,12.76 g,0.64 g,77.43 g
"candies, hard",394.0,0.00 g,0.20 g,98.00 g
meat extender,311.0,41.71 g,2.97 g,34.71 g
"syrups, maple",260.0,0.04 g,0.06 g,67.04 g
sorghum grain,329.0,10.62 g,3.46 g,72.09 g
"oil, hazelnut",884.0,0.00 g,100.00 g,0.00 g
"pepeao, dried",298.0,4.82 g,0.44 g,81.03 g
"purslane, raw",20.0,2.03 g,0.36 g,3.39 g
"radishes, raw",16.0,0.68 g,0.10 g,3.40 g
"rolls, french",277.0,8.60 g,4.30 g,50.20 g
"bagels, wheat",250.0,10.20 g,1.53 g,48.89 g
"kfc, coleslaw",144.0,0.91 g,8.64 g,15.65 g
"parsnips, raw",75.0,1.20 g,0.30 g,17.99 g
"sugars, maple",354.0,0.10 g,0.20 g,90.90 g
"collards, raw",32.0,3.02 g,0.61 g,5.42 g
rice crackers,416.0,10.00 g,5.00 g,82.64 g
"cheese, colby",394.0,23.76 g,32.11 g,2.57 g
"cheese, cream",350.0,6.15 g,34.44 g,5.52 g
"bologna, pork",247.0,15.30 g,19.87 g,0.73 g
"celeriac, raw",42.0,1.50 g,0.30 g,9.20 g
"kumquats, raw",71.0,1.88 g,0.86 g,15.90 g
"oat bran, raw",246.0,17.30 g,7.03 g,66.22 g
"spelt, cooked",127.0,5.50 g,0.85 g,26.44 g
"bread, cheese",408.0,10.42 g,20.83 g,44.83 g
"bread, potato",266.0,12.50 g,3.13 g,47.07 g
"kohlrabi, raw",27.0,1.70 g,0.10 g,6.20 g
"cheese, swiss",393.0,26.96 g,30.99 g,1.44 g
"cheese, gouda",356.0,24.94 g,27.44 g,2.22 g
tomato powder,302.0,12.91 g,0.44 g,74.68 g
"cheese, blue",353.0,21.40 g,28.74 g,2.34 g
"cheese, brie",334.0,20.75 g,27.68 g,0.45 g
"celtuce, raw",18.0,0.85 g,0.30 g,3.65 g
"thyme, fresh",101.0,5.56 g,1.68 g,24.45 g
"basil, fresh",23.0,3.15 g,0.64 g,2.65 g
"rhubarb, raw",21.0,0.90 g,0.20 g,4.54 g
"nopales, raw",16.0,1.32 g,0.09 g,3.33 g
"syrups, malt",318.0,6.20 g,0.00 g,71.30 g
"oil, teaseed",884.0,0.00 g,100.00 g,0.00 g
"oil, sheanut",884.0,0.00 g,100.00 g,0.00 g
"oil, babassu",884.0,0.00 g,100.00 g,0.00 g
"longans, raw",60.0,1.31 g,0.10 g,15.14 g
"loquats, raw",47.0,0.43 g,0.20 g,12.14 g
"epazote, raw",32.0,0.33 g,0.52 g,7.44 g
"pumpkin, raw",26.0,1.00 g,0.10 g,6.50 g
"carrots, raw",41.0,0.93 g,0.24 g,9.58 g
"fish, surimi",99.0,15.18 g,0.90 g,6.85 g
"cabbage, raw",25.0,1.28 g,0.10 g,5.80 g
"cardoon, raw",17.0,0.70 g,0.10 g,4.07 g
"abiyuch, raw",69.0,1.50 g,0.10 g,17.60 g
"bread, wheat",267.0,10.72 g,3.24 g,48.68 g
"cheese, edam",357.0,24.99 g,27.80 g,1.43 g
"cheese, feta",264.0,14.21 g,21.28 g,4.09 g
"pummelo, raw",38.0,0.76 g,0.04 g,9.62 g
"quinces, raw",57.0,0.40 g,0.10 g,15.30 g
cracker meal,383.0,9.30 g,1.70 g,80.90 g
"roselle, raw",49.0,0.96 g,0.64 g,11.31 g
"soursop, raw",66.0,1.00 g,0.30 g,16.84 g
"oil, coconut",892.0,0.00 g,99.06 g,0.00 g
"wheat, durum",339.0,13.68 g,2.47 g,71.13 g
"kfc, biscuit",358.0,7.50 g,17.05 g,43.55 g
millet flour,382.0,10.75 g,4.25 g,75.12 g
"arugula, raw",25.0,2.58 g,0.66 g,3.65 g
potato flour,357.0,6.90 g,0.34 g,83.10 g
"litchis, raw",66.0,0.83 g,0.44 g,16.53 g
"teff, cooked",101.0,3.87 g,0.65 g,19.86 g
"spinach, raw",23.0,2.86 g,0.39 g,3.63 g
"oil, mustard",884.0,0.00 g,100.00 g,0.00 g
"oil, avocado",884.0,0.00 g,100.00 g,0.00 g
phyllo dough,299.0,7.10 g,6.00 g,52.60 g
"lentils, raw",352.0,24.63 g,1.06 g,63.35 g
"fat, chicken",900.0,0.00 g,99.80 g,0.00 g
"cassava, raw",160.0,1.36 g,0.28 g,38.06 g
"turnips, raw",28.0,0.90 g,0.10 g,6.43 g
"bananas, raw",89.0,1.09 g,0.33 g,22.84 g
"papayas, raw",43.0,0.47 g,0.26 g,10.82 g
fruit syrup,341.0,0.00 g,0.00 g,85.13 g
"chives, raw",30.0,3.27 g,0.73 g,4.35 g
carob flour,222.0,4.62 g,0.65 g,88.88 g
prune puree,257.0,2.10 g,0.20 g,65.10 g
"salt, table",0.0,0.00 g,0.00 g,0.00 g
chewing gum,360.0,0.00 g,0.30 g,96.70 g
"fat, turkey",900.0,0.00 g,99.80 g,0.00 g
"tofu, fried",270.0,18.82 g,20.18 g,8.86 g
"borage, raw",21.0,1.80 g,0.70 g,3.06 g
"mangos, raw",60.0,0.82 g,0.38 g,14.98 g
"garlic, raw",149.0,6.36 g,0.50 g,33.06 g
"endive, raw",17.0,1.25 g,0.20 g,3.35 g
tofu yogurt,94.0,3.50 g,1.80 g,15.96 g
"celery, raw",16.0,0.69 g,0.17 g,2.97 g
"bagels, egg",278.0,10.60 g,2.10 g,53.00 g
"bulgur, dry",342.0,12.29 g,1.33 g,75.87 g
"feijoa, raw",61.0,0.71 g,0.42 g,15.21 g
"millet, raw",378.0,11.02 g,4.22 g,72.85 g
"ham, minced",263.0,16.28 g,20.68 g,1.84 g
"oil, almond",884.0,0.00 g,100.00 g,0.00 g
"oil, walnut",884.0,0.00 g,100.00 g,0.00 g
"jujube, raw",79.0,1.20 g,0.20 g,20.23 g
"oil, canola",884.0,0.00 g,100.00 g,0.00 g
"syrup, cane",269.0,0.00 g,0.00 g,73.14 g
"onions, raw",40.0,1.10 g,0.10 g,9.34 g
clif z bar,409.0,5.55 g,9.72 g,74.72 g
fish broth,16.0,2.00 g,0.60 g,0.40 g
"fat, goose",900.0,0.00 g,99.80 g,0.00 g
"bread, rye",259.0,8.50 g,3.30 g,48.30 g
"eppaw, raw",150.0,4.60 g,1.80 g,31.68 g
"limes, raw",30.0,0.70 g,0.20 g,10.54 g
"pie, peach",224.0,1.90 g,10.00 g,32.90 g
"pears, raw",57.0,0.36 g,0.14 g,15.23 g
"plums, raw",46.0,0.70 g,0.28 g,11.42 g
"rowal, raw",111.0,2.30 g,2.00 g,23.90 g
"beets, raw",43.0,1.61 g,0.17 g,9.56 g
"bread, egg",287.0,9.50 g,6.00 g,47.80 g
buckwheat,343.0,13.25 g,3.40 g,71.50 g
"oil, palm",884.0,0.00 g,100.00 g,0.00 g
"fat, duck",882.0,0.00 g,99.80 g,0.00 g
triticale,336.0,13.05 g,2.09 g,72.13 g
rye grain,338.0,10.34 g,1.63 g,75.86 g
"dock, raw",22.0,2.00 g,0.70 g,3.20 g
"kale, raw",49.0,4.28 g,0.93 g,8.75 g
"okra, raw",33.0,1.93 g,0.19 g,7.45 g
"taro, raw",112.0,1.50 g,0.20 g,26.46 g
"figs, raw",74.0,0.75 g,0.30 g,19.18 g
"goat, raw",109.0,20.60 g,2.31 g,0.00 g
molasses,290.0,0.00 g,0.10 g,74.73 g
zwieback,426.0,10.10 g,9.70 g,74.20 g
"yam, raw",118.0,1.53 g,0.17 g,27.88 g
"oil, oat",884.0,0.00 g,100.00 g,0.00 g
jellies,266.0,0.15 g,0.02 g,69.95 g
eggnog,88.0,4.55 g,4.19 g,8.05 g
catsup,101.0,1.04 g,0.10 g,27.40 g
tempeh,192.0,20.29 g,10.80 g,7.64 g
wasabi,292.0,2.23 g,10.90 g,46.13 g
honey,304.0,0.30 g,0.00 g,82.40 g
natto,211.0,19.40 g,11.00 g,12.68 g
okara,76.0,3.52 g,1.73 g,12.23 g
papad,371.0,25.56 g,3.25 g,59.87 g
lard,902.0,0.00 g,100.00 g,0.00 g
oats,389.0,16.89 g,6.90 g,66.27 g
miso,198.0,12.79 g,6.01 g,25.37 g
poi,112.0,0.38 g,0.14 g,27.23 g
"spices, dried, oregano",265.0,9.00 g,4.28 g,68.92 g
"winged bean leaves, raw",74.0,5.85 g,1.10 g,14.10 g
"corn, raw, white, sweet",86.0,3.22 g,1.18 g,19.02 g
"wheat flour, whole-grain",340.0,13.21 g,2.50 g,71.97 g
"cracker barrel, coleslaw",175.0,0.89 g,13.22 g,13.01 g
"fish, raw, king, mackerel",105.0,20.28 g,2.00 g,0.00 g
"cookies, chocolate wafers",433.0,6.60 g,14.20 g,72.70 g
"mushrooms, raw, portabella",22.0,2.11 g,0.35 g,3.87 g
"fish, raw, striped, mullet",117.0,19.35 g,3.79 g,0.00 g
"egg, poached, cooked, whole",143.0,12.51 g,9.47 g,0.71 g
"noodles, chow mein, chinese",475.0,8.11 g,15.43 g,72.80 g
"oil, cold pressed, flaxseed",884.0,0.11 g,99.98 g,0.00 g
"triticale flour, whole-grain",338.0,13.18 g,1.81 g,73.14 g
"cheese, queso anejo, mexican",373.0,21.44 g,29.98 g,4.63 g
"smelt, dried (alaska native)",386.0,56.19 g,17.90 g,0.00 g
"lamb, broiled, cooked, ground",283.0,24.75 g,19.65 g,0.00 g
"tofu, dried-frozen (koyadofu)",477.0,52.47 g,30.34 g,10.03 g
poultry salad sandwich spread,200.0,11.64 g,13.52 g,7.41 g
"salami, beef and pork, cooked",336.0,21.85 g,25.90 g,2.40 g
"rice flour, unenriched, white",366.0,5.95 g,1.42 g,80.13 g
"yogurt, nonfat, fruit variety",95.0,4.40 g,0.20 g,19.00 g
"babyfood, vegetable, crackers",477.0,8.40 g,19.60 g,66.85 g
"babyfood, fruit, baby, cookie",435.0,6.80 g,12.60 g,73.70 g
"chicken, raw, giblets, capons",130.0,18.28 g,5.18 g,1.42 g
"fish, raw, mixed species, roe",143.0,22.32 g,6.42 g,1.50 g
"fish, smoked, chinook, salmon",117.0,18.28 g,4.32 g,0.00 g
house foods premium firm tofu,85.0,10.92 g,4.19 g,0.97 g
"crackers, whole grain, cheese",412.0,9.62 g,16.03 g,57.29 g
"seeds, high-fat, sesame flour",526.0,30.78 g,37.10 g,26.62 g
"peppers, canned, green, chili",21.0,0.72 g,0.27 g,4.60 g
"egg, raw, fresh, whole, quail",158.0,13.05 g,11.09 g,0.41 g
"pumpkin, without salt, canned",34.0,1.10 g,0.28 g,8.09 g
"dove, cooked (includes squab)",213.0,23.90 g,13.00 g,0.00 g
"beverages, orange, carbonated",48.0,0.00 g,0.00 g,12.30 g
"kefir, lifeway, plain, lowfat",41.0,3.79 g,0.93 g,4.48 g
"candies, almond joy candy bar",479.0,4.13 g,26.93 g,59.51 g
"cheese substitute, mozzarella",248.0,11.47 g,12.22 g,23.67 g
"crustaceans, raw, queen, crab",90.0,18.50 g,1.18 g,0.00 g
"wheat, cooked, kamut khorasan",132.0,5.71 g,0.83 g,27.60 g
"sauce, ready-to-serve, hoisin",220.0,3.31 g,3.39 g,44.08 g
"sauce, ready-to-serve, oyster",51.0,1.35 g,0.25 g,10.92 g
"noodles, dry, somen, japanese",356.0,11.35 g,0.81 g,74.10 g
"crackers, reduced fat, cheese",418.0,10.00 g,11.67 g,68.19 g
"cookies, reduced fat, oatmeal",365.0,4.02 g,10.04 g,64.62 g
"cranberries, sweetened, dried",308.0,0.17 g,1.09 g,82.80 g
"cheese, queso cotija, mexican",366.0,20.00 g,30.00 g,3.97 g
"rolls, hard (includes kaiser)",293.0,9.90 g,4.30 g,52.70 g
"ostrich, cooked, inside strip",164.0,29.37 g,4.26 g,0.00 g
"silk light chocolate, soymilk",49.0,2.06 g,0.62 g,9.05 g
"candies, sugar-coated almonds",474.0,10.00 g,17.93 g,68.26 g
"kellogg's, corn flakes crumbs",367.0,7.50 g,0.40 g,84.40 g
"cheese, queso seco, dry white",325.0,24.51 g,24.35 g,2.04 g
"fish, raw, wild, coho, salmon",146.0,21.62 g,5.93 g,0.00 g
"beets, drained solids, canned",31.0,0.91 g,0.14 g,7.21 g
"beef, reduced sodium, bologna",310.0,11.70 g,28.40 g,2.00 g
"fast foods, hot fudge, sundae",180.0,3.57 g,5.46 g,30.17 g
"keebler, iced oatmeal cookies",467.0,6.50 g,18.30 g,69.50 g
"ice creams, fat free, vanilla",138.0,4.48 g,0.00 g,30.06 g
"turkey pot pie, frozen entree",176.0,6.50 g,8.80 g,17.70 g
"peanut butter, reduced sodium",590.0,24.00 g,49.90 g,21.83 g
"oil, salad or cooking, peanut",884.0,0.00 g,100.00 g,0.00 g
"turkey, raw, meat only, whole",112.0,22.64 g,1.93 g,0.14 g
"syrups, fudge-type, chocolate",350.0,4.60 g,8.90 g,62.90 g
"corn, steamed (navajo), white",386.0,9.72 g,5.18 g,75.20 g
"fish, raw, mixed species, eel",184.0,18.44 g,11.66 g,0.00 g
"spices, dried, coriander leaf",279.0,21.93 g,4.78 g,52.10 g
"popovers, unenriched, dry mix",371.0,10.40 g,4.30 g,71.00 g
"lemon grass (citronella), raw",99.0,1.82 g,0.49 g,25.31 g
"candies, with almonds, nougat",398.0,3.33 g,1.67 g,92.39 g
"fish, raw, atlantic, mackerel",205.0,18.60 g,13.89 g,0.00 g
"candies, reese's pieces candy",497.0,12.46 g,24.77 g,59.86 g
"sauce, ready-to-serve, cheese",174.0,6.71 g,13.29 g,6.83 g
"noodles, unenriched, dry, egg",384.0,14.16 g,4.44 g,71.27 g
"egg, scrambled, cooked, whole",149.0,9.99 g,10.98 g,1.61 g
"egg, raw, fresh, whole, goose",185.0,13.87 g,13.27 g,1.35 g
"jujube, dried, fresh, chinese",281.0,4.72 g,0.50 g,72.52 g
"girl scouts, trefoils cookies",498.0,5.70 g,22.90 g,68.00 g
"quail, raw, meat only, breast",123.0,22.59 g,2.99 g,0.00 g
"blueberries, sweetened, dried",317.0,2.50 g,2.50 g,80.00 g
"mcdonald's, hot mustard sauce",190.0,2.60 g,7.31 g,29.08 g
"candies, payday bar, hersheys",490.0,13.44 g,25.00 g,52.88 g
"sauce, ready-to-serve, tartar",211.0,1.00 g,16.70 g,13.30 g
pulled pork in barbecue sauce,168.0,13.19 g,4.42 g,18.74 g
"sauce, thick, white, homemade",186.0,3.99 g,13.83 g,11.61 g
"veal, broiled, cooked, ground",172.0,24.38 g,7.56 g,0.00 g
"bison, raw, grass-fed, ground",146.0,20.23 g,7.21 g,0.05 g
"bread, bollilo, mexican, roll",318.0,10.65 g,5.80 g,55.77 g
"mcdonald's, chicken mcnuggets",302.0,15.79 g,19.81 g,15.09 g
"currants, raw, european black",63.0,1.40 g,0.41 g,15.38 g
"pineapple, all varieties, raw",50.0,0.54 g,0.12 g,13.12 g
"fish, raw, atlantic, wolffish",96.0,17.50 g,2.39 g,0.00 g
"cereals ready-to-eat, familia",388.0,9.50 g,6.30 g,73.80 g
"leavening agents, baking soda",0.0,0.00 g,0.00 g,0.00 g
"asparagus, unprepared, frozen",24.0,3.23 g,0.23 g,4.10 g
"english muffins, whole-wheat",203.0,8.80 g,2.10 g,40.40 g
"ice creams, light, chocolate",187.0,5.00 g,7.19 g,25.70 g
"crackers, wheat, melba toast",374.0,12.90 g,2.30 g,76.40 g
"crackers, plain, melba toast",390.0,12.10 g,3.20 g,76.60 g
"crackers, plain, wafers, rye",334.0,9.60 g,0.90 g,80.40 g
"apples, with skin, gala, raw",57.0,0.25 g,0.12 g,13.68 g
"fish, dry heat, cooked, ling",111.0,24.35 g,0.82 g,0.00 g
"fish, dry heat, cooked, cusk",112.0,24.35 g,0.88 g,0.00 g
"peanut spread, reduced sugar",650.0,24.80 g,54.89 g,14.23 g
"beerwurst, pork, beer salami",238.0,14.24 g,18.80 g,2.06 g
"babyfood, junior, beef, meat",81.0,12.03 g,2.52 g,2.43 g
"peppers, sauteed, red, sweet",133.0,1.04 g,12.75 g,6.57 g
"tree fern, with salt, cooked",40.0,0.29 g,0.07 g,10.78 g
"pheasant, meat and skin, raw",181.0,22.70 g,9.29 g,0.00 g
"oil, salad or cooking, olive",884.0,0.00 g,100.00 g,0.00 g
"squash, raw, hubbard, winter",40.0,2.00 g,0.50 g,8.70 g
"rambutan, syrup pack, canned",82.0,0.65 g,0.21 g,20.87 g
"fish, raw, atlantic, herring",158.0,17.96 g,9.04 g,0.00 g
"bologna, beef, pork, chicken",272.0,11.33 g,22.73 g,5.61 g
"denny's, golden fried shrimp",319.0,13.88 g,20.01 g,20.93 g
"mcdonald's, hot fudge sundae",186.0,4.14 g,5.91 g,30.05 g
"fish, raw, spanish, mackerel",139.0,19.29 g,6.30 g,0.00 g
"pepperidge farm, white bread",280.0,0.01 g,5.10 g,50.20 g
"crackers, low sodium, cheese",503.0,10.10 g,25.30 g,58.20 g
"usda commodity, canned, pork",196.0,19.40 g,12.95 g,0.59 g
orange pineapple juice blend,51.0,0.41 g,0.08 g,12.20 g
"beverages, hard cider, amber",56.0,0.00 g,0.00 g,5.92 g
"babyfood, apple-banana juice",51.0,0.20 g,0.10 g,12.30 g
"spices, ground, mustard seed",508.0,26.08 g,36.24 g,28.09 g
"on the border, refried beans",144.0,7.30 g,5.00 g,17.52 g
"cornmeal, white, whole-grain",362.0,8.12 g,3.59 g,76.89 g
"ground turkey, raw, fat free",112.0,23.57 g,1.95 g,0.00 g
"kanpyo, (dried gourd strips)",258.0,8.58 g,0.56 g,65.03 g
"pancakes, reduced fat, plain",269.0,5.71 g,1.90 g,57.32 g
"tennis bread, plain (apache)",258.0,9.00 g,1.05 g,53.26 g
"usda commodity, canned, beef",246.0,20.52 g,17.57 g,0.00 g
"cockles, raw (alaska native)",79.0,13.50 g,0.70 g,4.70 g
"yogurt, lowfat, plain, greek",73.0,9.95 g,1.92 g,3.94 g
"apples, with skin, fuji, raw",63.0,0.20 g,0.18 g,15.22 g
"cheese, low sodium, parmesan",451.0,41.60 g,29.99 g,3.70 g
"peppers, canned, hot pickled",22.0,0.80 g,0.40 g,4.56 g
"mcdonald's, hotcakes (plain)",228.0,6.00 g,5.84 g,38.27 g
"lettuce, raw, cos or romaine",17.0,1.23 g,0.30 g,3.29 g
"murray, jacks vanilla wafers",438.0,4.80 g,11.90 g,78.10 g
"noodles, dry, soba, japanese",336.0,14.38 g,0.71 g,74.62 g
"beverages, powder, cocoa mix",398.0,6.67 g,4.00 g,83.73 g
"game meat, raw, ground, deer",157.0,21.78 g,7.13 g,0.00 g
"dessert topping, pressurized",264.0,0.98 g,22.30 g,16.07 g
"cheese, reduced fat, cheddar",309.0,27.35 g,20.41 g,4.06 g
"cream, light whipping, fluid",292.0,2.17 g,30.91 g,2.96 g
"cream, heavy whipping, fluid",340.0,2.84 g,36.08 g,2.74 g
"pinon nuts, roasted (navajo)",541.0,7.41 g,34.08 g,51.06 g
"mothbeans, raw, mature seeds",343.0,22.94 g,1.61 g,61.52 g
"bread, toasted, pumpernickel",275.0,9.50 g,3.40 g,52.20 g
"bread, enriched, white, pita",275.0,9.10 g,1.20 g,55.70 g
"beef, raw, ground, grass-fed",198.0,19.42 g,12.73 g,0.00 g
"muffins, dry mix, wheat bran",396.0,7.10 g,12.00 g,73.00 g
