Food_Item,Calories,Protein_g,Fat_g,Carbs_g
mutton biryani/biriyani,190.76,7.38,7.72,22.5
vegetable biryani/biriyani,174.61,3.16,9.51,18.56
"lemon rice (pulihora, elumichai sadam, chitranna)",176.3,4.26,7.88,21.62
sweet rice (meethe chawal),215.41,2.1,4.57,42.59
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),195.74,5.75,4.32,32.93
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),373.04,7.45,8.53,65.08
spanish rice,164.24,4.19,2.23,31.1
chinese fried rice,120.58,4.05,5.43,13.4
macroni cheese pie,170.63,5.85,7.48,21.1
vegetable chowmein,129.71,3.07,6.36,15.44
chicken chowmein,151.33,6.33,8.23,13.3
cheese noodle ring,133.67,6.22,6.12,13.96
spaghetti and cheese balls in tomato sauce,508.32,2.41,52.08,7.82
penne platter,177.4,5.04,8.71,20.87
pasta hot pot,125.17,5.84,6.47,11.6
chicken lasagne,187.49,10.45,10.36,13.9
fettuccine with spinach sauce,129.21,3.1,7.83,12.19
naan,286.45,8.05,4.99,51.75
bhature,793.2,1.63,82.56,10.73
idli,137.54,4.64,0.33,28.18
masala dosa,164.58,3.29,7.84,19.57
semolina dosa (suji/rava dosa),227.05,7.3,7.12,32.84
onion tomato uttapam,462.02,1.91,45.3,11.32
paneer kaathi roll,285.94,6.92,19.55,20.1
makki ki roti,263.97,3.49,16.85,24.19
washed moong dal (dhuli moong ki dal),50.0,2.68,1.68,5.91
washed urad dal (dhuli urad ki dal),61.32,2.51,2.98,5.84
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25,2.79,3.6,7.1
dry washed urad,124.71,6.85,3.5,15.66
mixed dal,61.93,2.51,3.1,5.79
whole moong (moong ki dal),53.7,2.25,2.56,5.22
whole masoor (masoor ki dal),54.05,2.28,2.52,5.37
whole moth (moth ki dal),55.0,2.01,2.62,5.74
whole urad (urad ki dal),53.8,2.21,2.62,5.05
moti mahal dal (urad rajmah mix dal),103.13,3.93,5.66,8.74
black channa curry/bengal gram curry (kale chane ki curry),140.68,5.67,6.61,14.11
chickpeas curry (safed channa curry),163.43,6.1,6.84,19.98
lobia curry,148.99,6.06,5.62,17.88
soyabean curry,163.28,10.43,10.19,6.76
kidney bean curry (rajmah curry),143.73,5.95,5.77,16.38
sambar,96.92,3.35,4.38,10.57
besan kadhi with pakodies,403.35,1.64,42.59,3.56
khatta channa,202.57,6.3,10.56,21.14
sprouted moong dal chat,32.47,1.35,0.32,6.01
potato cauliflower (aloo gobhi),106.18,1.9,8.13,5.99
potato capsicum (shimla mirch aloo),125.53,1.41,9.33,8.72
cabbage and peas (pattagobhi aur matar),63.88,3.24,2.64,6.24
carrot and fenugreek leaves (gajar methi),61.92,2.1,3.81,4.17
potato fenugreek (aloo methi),135.15,2.25,10.04,8.47
brinjal bhartha (baingan ka bhartha),65.12,1.38,4.48,4.4
dry potato (sookhe aloo),103.15,1.62,4.18,14.38
beans with coconut (nariyal aur sem/phali; beans thoran),131.63,2.62,11.39,4.39
cauliflower with coconut (nariyal ke saath phoolgobhi),132.11,2.64,11.56,3.99
carrot and cabbage with coconut (nariyal ke saath pattagobhi aur gajar),106.61,1.82,8.62,4.99
raw turnip with coconut,132.15,1.8,11.47,5.78
raw papaya with coconut (papaya thoran),132.75,1.54,11.42,5.58
stuffed okra (bharwa bhindi),94.34,2.08,7.66,3.85
stuffed round gourd (bharwa tinde),72.8,1.1,5.75,4.02
stuffed capsicum (bharwa shimla mirch),90.94,1.34,5.7,8.26
stuffed brinjal (bharwa baingan),93.0,1.53,7.73,3.96
stuffed tomatoes (bharwa tamatar),93.35,3.28,6.06,6.19
pea potato curry (aloo matar),100.92,3.48,5.13,9.74
pea paneer curry (matar paneer),134.83,6.61,7.75,9.29
pea mushroom curry (matar mushroom),93.3,3.87,5.16,7.41
pea curry (matar ki sabzi),102.99,4.51,5.11,9.2
pea vadi curry,101.95,4.64,5.08,8.9
paneer curry,176.52,7.8,12.38,8.4
lotus stem curry (kamal kakdi curry),110.34,1.53,7.25,9.24
gravy for kofta,125.59,1.75,10.35,6.31
pea kofta curry (matar kofta curry),595.66,2.01,63.39,4.17
spinach kofta curry (palak kofta curry),571.78,1.09,61.49,3.56
paneer kofta curry,670.91,2.39,72.06,3.27
lotus stem kofta curry (kamal kakdi kofta curry),633.56,0.96,67.76,5.01
raw banana kofta curry (kela kofta curry),627.27,0.62,67.98,3.4
cauliflower kofta curry (phoolgobhi kofta curry),641.1,1.04,69.62,2.62
cabbage kofta curry (pattagobhi kofta curry),639.81,0.98,69.4,2.87
ghiya/lauki kofta curry,638.71,0.89,69.4,2.71
spinach paneer kofta curry (palak paneer kofta curry),606.03,1.43,65.41,2.94
vegetarian egg kofta curry,627.41,1.33,67.24,4.26
baked vegetables,88.99,3.67,4.44,8.44
cauliflower musallam (phoolgobhi musallam),58.83,1.89,3.55,4.48
baked vegetables with spinach,77.79,3.22,4.03,6.93
baked potato with skin,135.77,3.43,8.5,11.11
shepherd's pie (vegetarian),135.63,5.04,7.3,12.03
baked brinjal in tomato sauce,38.63,1.58,1.62,4.13
dum aloo,682.33,0.7,74.01,3.33
spinach paneer (palak paneer),77.68,4.03,4.76,4.43
methi chaman,475.62,1.54,50.91,2.78
sarson ka saag,87.84,3.0,5.86,5.33
jackfruit sabzi (kathal ki sabzi),625.4,0.69,67.6,3.4
avial,124.56,2.46,8.94,8.47
al yakhani,147.54,2.86,13.14,4.65
shahi paneer,156.5,5.06,12.34,6.64
paneer in butter sauce,145.61,6.99,8.81,9.7
methi malai paneer,194.98,7.34,14.76,8.15
chilli paneer,777.51,2.1,84.01,3.31
paneer makhana korma,775.82,3.24,82.76,4.63
kadhai paneer,107.99,4.33,6.81,7.34
roghan josh,139.59,9.56,9.02,4.93
spinach mutton (palak mutton),80.32,5.74,4.71,3.45
pea keema curry (matar keema ki sabzi),133.0,8.43,8.14,6.24
keema kofta curry,154.45,9.77,10.39,5.64
kashmiri mutton koftas (gushtaba),97.42,6.33,6.77,3.04
mutton yakhni,104.13,8.27,7.7,0.84
chicken yakhni,99.0,10.66,6.1,0.78
mutton do piaza,183.3,9.39,14.41,4.14
mutton chops,663.64,4.03,71.31,1.48
shammi kebab,685.69,4.52,72.61,3.54
scotch egg,676.89,4.05,72.62,1.91
shepherd's pie (with minced meat),142.78,7.45,8.88,8.06
chicken curry,129.22,11.79,7.57,3.38
tandoori chicken,145.2,16.26,7.93,2.34
butter chicken,137.0,10.92,8.7,3.74
chicken kebab,729.41,3.71,78.89,1.11
chilli chicken,198.83,9.57,16.56,2.86
fried chicken with tomato sauce (fried chicken tamatar ki chutney kay saath),125.03,11.48,7.61,2.51
fish curry (machli curry),111.13,8.76,6.69,3.77
fried fish (indian style) (tali hui machli),658.54,4.35,68.88,5.4
fried fish and chips (english style) (tali hui machli aur chips),651.75,3.36,69.69,2.77
tomato fish,489.79,2.39,51.91,3.18
baked fish with cheese sauce,113.96,8.64,7.02,4.06
fish tikka,117.33,16.0,4.15,3.91
tandoori fish,95.98,11.19,4.64,2.37
"paneer, apple and pineapple salad",95.08,3.88,5.07,8.35
russian salad,114.83,4.26,7.84,6.5
pasta salad,190.36,4.15,13.92,12.7
deviled egg,98.56,4.97,7.72,2.23
hawain salad,175.23,4.27,11.37,14.35
mixed pulse and vegetable salad,83.12,4.74,0.84,13.96
sprouted moong salad,37.81,2.29,0.74,5.48
tossed salad,62.96,1.02,4.22,4.95
mixed vegetable salad with curd sauce,60.28,4.23,1.5,7.03
potato salad (aloo ka salaad),89.91,1.4,4.4,11.19
waldroff salad,141.75,1.47,10.05,11.02
coleslaw,76.71,1.24,5.32,5.59
fruit salad (phalon ka salaad),78.14,0.91,1.22,15.96
tomato onion raita (tamatar aur pyaaz ka raita),59.0,3.74,1.84,7.08
peanut raita (mungfali ka raita),150.39,8.59,8.98,9.3
sprouted moong raita,60.89,4.62,2.19,6.13
bottle gourd raita (ghiya/lauki ka raita),56.31,3.98,2.07,5.76
cucumber raita (kheere ka raita),59.13,4.04,2.08,6.35
carrot and spinach raita (gajar aur palak ka raita),56.83,4.0,1.99,5.83
mint raita (pudinay ka raita),77.59,5.64,2.96,7.65
potato raita (aloo ka raita),75.38,4.22,2.04,10.24
boondi raita,687.72,2.19,73.83,3.96
sweet raita (meetha raita),99.24,3.24,1.78,17.93
dahi vadas/dahi bhalla,667.73,2.96,70.4,5.49
gunjia,667.34,2.98,70.28,5.68
saunth/sonth chutney with tamarind/imli,141.53,1.01,0.15,33.55
rice kheer (chawal ki kheer),75.03,2.3,2.97,10.05
makhana kheer,107.85,3.31,5.0,12.88
vermicelli kheer (semiya/seviyan ki kheer),120.07,3.35,5.0,15.87
semolina kheer (suji/rava kheer),113.21,3.43,4.2,15.88
paneer kheer,105.31,4.53,5.37,10.03
cabbage kheer (pattagobhi ki kheer),83.51,2.87,3.8,9.73
carrot kheer (gajar ki kheer),85.35,2.81,3.85,10.09
cauliflower kheer (phoolgobhi ki kheer),81.95,3.04,3.95,8.78
moong dal kheer,77.16,2.95,2.97,9.89
